Query_index,Query,FAQ_index,Raw_score,Average,Label (mean score > 3 as positive)
0,How is COVID-19 spread in public places?,3553,"[4, 2, 4]",3.333333333,positive
0,How is COVID-19 spread in public places?,1438,"[4, 2, 3]",3,negative
0,How is COVID-19 spread in public places?,3857,"[4, 2, 3]",3,negative
0,How is COVID-19 spread in public places?,1928,"[4, 3, 3]",3.333333333,positive
0,How is COVID-19 spread in public places?,1160,"[4, 2, 4]",3.333333333,positive
0,How is COVID-19 spread in public places?,2084,"[4, 3, 4]",3.666666667,positive
0,How is COVID-19 spread in public places?,1013,"[3, 1, 1]",1.666666667,negative
0,How is COVID-19 spread in public places?,1067,"[3, 2, 4]",3,negative
0,How is COVID-19 spread in public places?,1182,"[1, 2, 2]",1.666666667,negative
0,How is COVID-19 spread in public places?,3793,"[2, 4, 4]",3.333333333,positive
0,How is COVID-19 spread in public places?,3420,"[4, 2, 4]",3.333333333,positive
0,How is COVID-19 spread in public places?,1496,"[3, 3, 2]",2.666666667,negative
0,How is COVID-19 spread in public places?,2582,"[1, 2, 1]",1.333333333,negative
0,How is COVID-19 spread in public places?,390,"[4, 1, 2]",2.333333333,negative
0,How is COVID-19 spread in public places?,1903,"[3, 4, 4]",3.666666667,positive
0,How is COVID-19 spread in public places?,1727,"[3, 4, 3]",3.333333333,positive
0,How is COVID-19 spread in public places?,1936,"[2, 2, 4]",2.666666667,negative
0,How is COVID-19 spread in public places?,4564,"[4, 3, 4]",3.666666667,positive
0,How is COVID-19 spread in public places?,1767,"[4, 3, 3]",3.333333333,positive
0,How is COVID-19 spread in public places?,1183,"[2, 2, 3]",2.333333333,negative
0,How is COVID-19 spread in public places?,3556,"[4, 2, 3]",3,negative
0,How is COVID-19 spread in public places?,1647,"[3, 4, 4]",3.666666667,positive
0,How is COVID-19 spread in public places?,4408,"[4, 4, 3]",3.666666667,positive
0,How is COVID-19 spread in public places?,386,"[4, 2, 3]",3,negative
0,How is COVID-19 spread in public places?,3237,"[2, 3, 4]",3,negative
0,How is COVID-19 spread in public places?,1227,"[4, 4, 4]",4,positive
0,How is COVID-19 spread in public places?,3522,"[4, 4, 3]",3.666666667,positive
0,How is COVID-19 spread in public places?,538,"[1, 1, 1]",1,negative
0,How is COVID-19 spread in public places?,2580,"[1, 1, 1]",1,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",3670,"[1, 2, 2]",1.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",4405,"[1, 2, 2]",1.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",2150,"[1, 3, 2]",2,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",2258,"[2, 4, 1]",2.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",6255,"[3, 3, 2]",2.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",138,"[4, 2, 2]",2.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",5361,"[1, 1, 1]",1,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",1049,"[3, 2, 3]",2.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",1719,"[2, 1, 2]",1.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",3787,"[4, 2, 1]",2.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",3213,"[4, 2, 1]",2.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",1073,"[2, 2, 3]",2.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",2320,"[1, 2, 3]",2,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",782,"[1, 2, 1]",1.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",879,"[2, 4, 2]",2.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",4606,"[2, 2, 4]",2.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",3813,"[3, 4, 2]",3,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",777,"[1, 1, 1]",1,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",3856,"[1, 1, 2]",1.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",2295,"[3, 3, 1]",2.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",2316,"[2, 1, 1]",1.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",1725,"[4, 4, 4]",4,positive
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",3378,"[2, 4, 2]",2.666666667,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",3246,"[1, 1, 1]",1,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",1769,"[1, 1, 2]",1.333333333,negative
1,"When coronavirus is referred to as a global pandemic, what kind of meaning does that actually have?",1071,"[2, 3, 3]",2.666666667,negative
